methods,frequency
java/lang/CharSequence.length,7504
org/joda/time/DateTimeFieldType.access$2200,2
org/joda/time/format/DateTimeParserBucket.compareReverse,1500
org/joda/time/chrono/JulianChronology.minuteOfDay,6
org/joda/time/format/PeriodFormatterBuilder.appendField,28
org/joda/time/format/ISODateTimeFormat.yearMonthDay,42
org/joda/time/ReadablePartial.getField,44
org/joda/time/format/InternalParserDateTimeParser.<init>,172
java/lang/String.hashCode,766
org/joda/time/chrono/GJLocaleSymbols.halfdayTextToValue,2
org/joda/time/format/PeriodFormatter.<init>,18
org/joda/time/chrono/BasicChronology.getDaysInMonthMax,40
org/joda/time/format/ISODateTimeFormat$Constants.yearElement,36
org/joda/time/format/ISODateTimeFormat$Constants.basicOrdinalDateTimeNoMillis,6
org/joda/time/format/DateTimeFormatterBuilder$NumberFormatter.<init>,148
org/joda/time/DateTimeFieldType.access$000,2
org/joda/time/DateTimeUtils.getZone,58
org/joda/time/format/PeriodFormatterBuilder$Separator.access$100,2
org/joda/time/format/DateTimeFormatterBuilder$StringLiteral.<init>,8
org/joda/time/chrono/AssembledChronology.setFields,58
org/joda/time/DateTimeFieldType.dayOfYear,1040
org/joda/time/field/OffsetDateTimeField.<init>,144
org/joda/time/Chronology.weekyear,410
org/joda/time/chrono/GregorianChronology.millisOfDay,6
org/joda/time/DateTimeFieldType.getField,4186
org/joda/time/ReadablePartial.getFieldType,24
org/joda/time/format/PeriodFormatterBuilder.appendSuffix,28
org/joda/time/chrono/BasicWeekyearDateTimeField.<init>,24
java/lang/Object.<init>,12326
org/joda/time/chrono/BasicYearDateTimeField.get,554
org/joda/time/format/ISODateTimeFormat.weekDate,12
org/joda/time/chrono/GJChronology.withZone,4
org/joda/time/chrono/ZonedChronology$ZonedDurationField.<init>,22
java/lang/IllegalArgumentException.<init>,308
org/joda/time/field/AbstractReadableInstantFieldProperty.get,166
org/joda/time/format/DateTimeFormatterBuilder$PaddedNumber.<init>,142
org/joda/time/format/DateTimeFormatter.<init>,650
org/joda/time/format/ISODateTimeFormat$Constants.basicDate,18
org/joda/time/PeriodType.standard,6
org/joda/time/DateTimeFieldType.access$1300,2
java/lang/StringBuilder.<init>,588
org/joda/time/field/ScaledDurationField.getType,64
org/joda/time/chrono/JulianChronology.millisOfDay,6
org/joda/time/DateTimeFieldType.dayOfWeek,38
org/joda/time/format/PeriodFormatterBuilder$Separator.finish,2
org/joda/time/PeriodType.hours,2
org/joda/time/field/BaseDateTimeField.getName,2
java/lang/Math.log,4
org/joda/time/ReadableInstant.getChronology,932
org/joda/time/chrono/GregorianChronology.isLeapYear,88
java/util/List.set,28
org/joda/time/DateTimeField.setExtended,3000
org/joda/time/DateTimeField.getName,28
org/joda/time/field/BaseDateTimeField.roundFloor,70
org/joda/time/format/PeriodFormatterBuilder$Literal.<init>,4
org/joda/time/format/PeriodFormatterBuilder$PeriodFieldAffix.finish,14
org/joda/time/chrono/ISOChronology.getZone,80
org/joda/time/Chronology.monthOfYear,1016
org/joda/time/format/FormatUtils.createErrorMessage,2
org/joda/time/chrono/GJChronology.getZone,4
org/joda/time/Instant.hashCode,64
org/joda/time/Chronology.minutes,38
org/joda/time/chrono/JulianChronology.clockhourOfDay,6
org/joda/time/field/AbstractReadableInstantFieldProperty.getMillis,298
org/joda/time/format/ISODateTimeFormat$Constants.dayOfYearElement,18
org/joda/time/field/BaseDateTimeField.set,32
org/joda/time/format/DateTimeFormatterBuilder.appendSecondOfMinute,6
org/joda/time/DateTimeFieldType.access$200,2
org/joda/time/Chronology.seconds,38
org/joda/time/chrono/BasicChronology.getDaysInMonthMaxForSet,534
org/joda/time/format/PeriodFormatterBuilder$IgnorableAffix.<init>,14
org/joda/time/DateTimeFieldType.weekyear,36
org/joda/time/DurationFieldType.minutes,104
org/joda/time/tz/FixedDateTimeZone.<init>,2
org/joda/time/format/ISODateTimeFormat$Constants.localTimeParser,6
org/joda/time/base/AbstractInstant.<init>,324
java/util/concurrent/atomic/AtomicReferenceArray.<init>,2
org/joda/time/field/ImpreciseDateTimeField.<init>,78
org/joda/time/DateTimeZone.getMillisKeepLocal,310
org/joda/time/format/PeriodFormatterBuilder.appendMonths,2
org/joda/time/chrono/BasicFixedMonthChronology.getDayOfYear,2
org/joda/time/chrono/BasicWeekOfWeekyearDateTimeField.<init>,24
org/joda/time/DurationField.getType,112
org/joda/time/format/PeriodFormatterBuilder.appendSeparatorIfFieldsAfter,2
org/joda/time/DateTimeComparator.getLowerLimit,20
org/joda/time/format/ISODateTimeFormat$Constants.weekDateTime,6
