FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
src/test/resources/preconditions_checkNotNull/PositiveCase1.java,12.0,24.0,39.0,2.0,4.0,1.0,3.0,6.0,9.75
src/test/resources/preconditions_checkNotNull/PositiveCase2.java,15.0,26.0,45.0,3.0,5.0,1.0,3.0,5.2,9.0
src/test/resources/preconditions_checkNotNull/NegativeCase1.java,13.0,26.0,39.0,2.0,3.0,1.0,4.33,8.67,13.0
src/test/resources/preconditions_expensive_string/NegativeCase1.java,127.0,71.0,304.0,3.0,7.0,0.0,18.14,10.14,43.43
src/test/resources/preconditions_expensive_string/PositiveCase1.java,118.0,68.0,287.0,4.0,8.0,0.0,14.75,8.5,35.88
src/main/java/com/google/errorprone/checkers/PreconditionsExpensiveStringChecker.java,513.0,290.0,1214.0,4.0,8.0,1.0,64.12,36.25,151.75
src/main/java/com/google/errorprone/matchers/ExpressionMethodSelectMatcher.java,175.0,95.0,412.0,3.0,7.0,0.0,25.0,13.57,58.86
src/test/resources/preconditions_expensive_string/NegativeCase2.java,114.0,66.0,278.0,4.0,8.0,0.0,14.25,8.25,34.75
src/main/java/com/google/errorprone/fixes/Replacement.java,70.0,70.0,175.0,3.0,4.0,0.0,17.5,17.5,43.75
src/main/java/com/google/errorprone/fixes/AppliedFix.java,101.0,200.0,311.0,2.0,4.0,1.0,25.25,50.0,77.75
src/test/java/com/google/errorprone/fixes/AppliedFixTest.java,44.0,88.0,132.0,2.0,3.0,0.0,14.67,29.33,44.0
src/test/resources/preconditions_checkNotNull_first_arg_boolean/PositiveCase1.java,70.0,70.0,175.0,3.0,4.0,0.0,17.5,17.5,43.75
src/main/java/com/google/errorprone/checkers/PreconditionsCheckNotNullPrimitive1stArgChecker.java,236.0,236.0,590.0,3.0,4.0,0.0,59.0,59.0,147.5
src/main/java/com/google/errorprone/matchers/StringLiteralMatcher.java,92.0,92.0,230.0,3.0,4.0,0.0,23.0,23.0,57.5
src/test/resources/remove_fallthrough_suppression/NegativeCases.java,42.0,45.0,110.0,3.0,5.0,0.0,8.4,9.0,22.0
src/test/resources/remove_fallthrough_suppression/PositiveCases.java,84.0,84.0,210.0,3.0,4.0,0.0,21.0,21.0,52.5
src/main/java/com/google/errorprone/checkers/FallThroughSuppressionChecker.java,248.0,268.0,650.0,3.0,5.0,0.0,49.6,53.6,130.0
src/main/java/com/google/errorprone/matchers/AnnotationTypeMatcher.java,94.0,94.0,235.0,3.0,4.0,0.0,23.5,23.5,58.75
src/main/java/com/google/errorprone/matchers/AnnotationHasElementWithValue.java,136.0,136.0,340.0,3.0,4.0,0.0,34.0,34.0,85.0
src/test/resources/empty_statement/NegativeCases.java,46.0,76.0,138.0,2.0,4.0,0.0,11.5,19.0,34.5
src/test/resources/empty_statement/PositiveCases.java,40.0,64.0,120.0,2.0,4.0,0.0,10.0,16.0,30.0
src/main/java/com/google/errorprone/checkers/EmptyStatementChecker.java,41.0,82.0,124.0,2.0,4.0,0.0,10.25,20.5,31.0
src/main/java/com/google/errorprone/checkers/EmptyIfStatementChecker.java,65.0,65.0,130.0,1.0,2.0,0.0,32.5,32.5,65.0
src/test/resources/remove_fallthrough_suppression/ToBeExtended.java,10.0,20.0,30.0,2.0,3.0,0.0,3.33,6.67,10.0
src/main/java/com/google/errorprone/checkers/EmptyIfChecker.java,175.0,293.0,571.0,2.0,7.0,1.0,25.0,41.86,81.57
src/test/resources/empty_if_statement/PositiveCases.java,52.0,88.0,156.0,2.0,4.0,0.0,13.0,22.0,39.0
src/test/resources/empty_if_statement/NegativeCases.java,57.0,98.0,171.0,2.0,4.0,0.0,14.25,24.5,42.75
src/main/java/com/google/errorprone/matchers/NextStatement.java,69.0,138.0,207.0,2.0,3.0,0.0,23.0,46.0,69.0
src/test/resources/ordering_from/NegativeCases.java,64.0,64.0,168.0,3.0,5.0,1.0,12.8,12.8,33.6
src/test/resources/ordering_from/PositiveCases.java,62.0,62.0,163.0,3.0,5.0,1.0,12.4,12.4,32.6
src/main/java/com/google/errorprone/matchers/NewInstanceAnonymousInnerClassMatcher.java,78.0,78.0,195.0,3.0,4.0,1.0,19.5,19.5,48.75
src/main/java/com/google/errorprone/checkers/OrderingFromChecker.java,134.0,134.0,335.0,3.0,4.0,1.0,33.5,33.5,83.75
src/test/resources/com/google/errorprone/checkers/empty_if_statement/PositiveCases.java,103.0,103.0,273.0,2.0,5.0,0.0,20.6,20.6,54.6
src/test/resources/com/google/errorprone/checkers/preconditions_expensive_string/NegativeCase2.java,64.0,64.0,160.0,2.0,4.0,0.0,16.0,16.0,40.0
src/test/resources/com/google/errorprone/checkers/remove_fallthrough_suppression/NegativeCases.java,44.0,44.0,110.0,2.0,4.0,0.0,11.0,11.0,27.5
src/test/resources/com/google/errorprone/checkers/ordering_from/NegativeCases.java,79.0,79.0,213.0,2.0,5.0,0.0,15.8,15.8,42.6
src/test/resources/com/google/errorprone/checkers/remove_fallthrough_suppression/PositiveCases.java,84.0,84.0,210.0,2.0,4.0,0.0,21.0,21.0,52.5
src/test/resources/com/google/errorprone/checkers/preconditions_checkNotNull/PositiveCase1.java,24.0,24.0,60.0,2.0,4.0,0.0,6.0,6.0,15.0
src/test/resources/com/google/errorprone/checkers/empty_statement/NegativeCases.java,89.0,89.0,237.0,2.0,5.0,0.0,17.8,17.8,47.4
src/test/resources/com/google/errorprone/checkers/remove_fallthrough_suppression/ToBeExtended.java,20.0,20.0,50.0,2.0,4.0,0.0,5.0,5.0,12.5
src/test/resources/com/google/errorprone/checkers/empty_if_statement/NegativeCases.java,113.0,113.0,298.0,2.0,5.0,0.0,22.6,22.6,59.6
src/test/resources/com/google/errorprone/checkers/preconditions_checkNotNull/NegativeCase1.java,26.0,26.0,65.0,2.0,4.0,0.0,6.5,6.5,16.25
src/test/resources/com/google/errorprone/checkers/preconditions_checkNotNull/PositiveCase2.java,22.0,22.0,55.0,2.0,4.0,0.0,5.5,5.5,13.75
src/test/resources/com/google/errorprone/checkers/ordering_from/PositiveCases.java,77.0,77.0,208.0,2.0,5.0,0.0,15.4,15.4,41.6
src/test/resources/com/google/errorprone/checkers/preconditions_checkNotNull_first_arg_boolean/PositiveCase1.java,70.0,70.0,175.0,2.0,4.0,0.0,17.5,17.5,43.75
src/test/resources/com/google/errorprone/checkers/dead_exception/PositiveCase1.java,76.0,76.0,190.0,2.0,4.0,0.0,19.0,19.0,47.5
src/test/resources/com/google/errorprone/checkers/empty_statement/PositiveCases.java,77.0,77.0,207.0,2.0,5.0,0.0,15.4,15.4,41.4
src/test/resources/com/google/errorprone/checkers/preconditions_expensive_string/NegativeCase1.java,70.0,70.0,175.0,2.0,4.0,0.0,17.5,17.5,43.75
src/test/resources/com/google/errorprone/checkers/dead_exception/NegativeCase1.java,56.0,56.0,140.0,2.0,4.0,0.0,14.0,14.0,35.0
src/test/resources/com/google/errorprone/checkers/preconditions_expensive_string/PositiveCase1.java,66.0,66.0,165.0,2.0,4.0,0.0,16.5,16.5,41.25
